id,task_id,prompt,status,image_url,user_id,create_time
1,82b7879c-c357-4682-965a-c71892b86caa,日进斗金,rsp status_code:200,/upload/282b7879c-c357-4682-965a-c71892b86caa1605448598.png,2,14/9/2025 10:04:43.997464
2,82b7879c-c357-4682-965a-c71892b86caa,日进斗金,rsp status_code:200,/upload/282b7879c-c357-4682-965a-c71892b86caa1605448597.png,2,14/9/2025 10:04:46.300582
3,,日进斗金,rsp status_code:200,,2,14/9/2025 10:05:07.368749
4,720979a1-503f-4a9a-9680-f36d1f087866,日进斗金,rsp status_code:200,/upload/2720979a1-503f-4a9a-9680-f36d1f0878662590179851.png,2,14/9/2025 10:05:33.905088
5,720979a1-503f-4a9a-9680-f36d1f087866,日进斗金,rsp status_code:200,/upload/2720979a1-503f-4a9a-9680-f36d1f0878662590179853.png,2,14/9/2025 10:05:34.624027
6,720979a1-503f-4a9a-9680-f36d1f087866,日进斗金,rsp status_code:200,/upload/2720979a1-503f-4a9a-9680-f36d1f0878662590179852.png,2,14/9/2025 10:05:35.96589
7,720979a1-503f-4a9a-9680-f36d1f087866,日进斗金,rsp status_code:200,/upload/2720979a1-503f-4a9a-9680-f36d1f0878662590179854.png,2,14/9/2025 10:05:36.589141
8,f2e2dda4-488c-485a-a746-6a2b2ca5f8e2,望子成龙，望女成凤,rsp status_code:200,/upload/3f2e2dda4-488c-485a-a746-6a2b2ca5f8e21365566115.png,3,14/9/2025 11:08:24.846652
9,f2e2dda4-488c-485a-a746-6a2b2ca5f8e2,望子成龙，望女成凤,rsp status_code:200,/upload/3f2e2dda4-488c-485a-a746-6a2b2ca5f8e21365566116.png,3,14/9/2025 11:08:25.576181
10,f2e2dda4-488c-485a-a746-6a2b2ca5f8e2,望子成龙，望女成凤,rsp status_code:200,/upload/3f2e2dda4-488c-485a-a746-6a2b2ca5f8e21365566114.png,3,14/9/2025 11:08:26.097411
11,f2e2dda4-488c-485a-a746-6a2b2ca5f8e2,望子成龙，望女成凤,rsp status_code:200,/upload/3f2e2dda4-488c-485a-a746-6a2b2ca5f8e21365566117.png,3,14/9/2025 11:08:26.648113
12,0fc6ae7a-a896-4f22-8b96-e7de530b2cd7,福寿康宁,rsp status_code:200,/upload/40fc6ae7a-a896-4f22-8b96-e7de530b2cd71948164797.png,4,14/9/2025 13:59:59.189437
13,0fc6ae7a-a896-4f22-8b96-e7de530b2cd7,福寿康宁,rsp status_code:200,/upload/40fc6ae7a-a896-4f22-8b96-e7de530b2cd71948164794.png,4,14/9/2025 13:59:59.762625
14,0fc6ae7a-a896-4f22-8b96-e7de530b2cd7,福寿康宁,rsp status_code:200,/upload/40fc6ae7a-a896-4f22-8b96-e7de530b2cd71948164795.png,4,14/9/2025 14:00:00.380642
15,0fc6ae7a-a896-4f22-8b96-e7de530b2cd7,福寿康宁,rsp status_code:200,/upload/40fc6ae7a-a896-4f22-8b96-e7de530b2cd71948164796.png,4,14/9/2025 14:00:01.109548
4,f2e2dda4-488c-485a-a746-6a2b2ca5f8e2,烟雨朦胧,rsp status_code:200,/upload/3f2e2dda4-488c-485a-a746-6a2b2ca5f8e21365566116.png,5,14/9/2025 11:08:26.648113
11,720979a1-503f-4a9a-9680-f36d1f087866,松柏常青,rsp status_code:200,/upload/3f2e2dda4-488c-485a-a746-6a2b2ca5f8e21365566115.png,5,14/9/2025 10:05:34.624027
14,0fc6ae7a-a896-4f22-8b96-e7de530b2cd7,旭日东升,rsp status_code:200,/upload/2720979a1-503f-4a9a-9680-f36d1f0878662590179851.png,5,14/9/2025 10:05:36.589141
5,720979a1-503f-4a9a-9680-f36d1f087866,月白风清,rsp status_code:200,/upload/40fc6ae7a-a896-4f22-8b96-e7de530b2cd71948164797.png,5,14/9/2025 10:04:46.300582
6,720979a1-503f-4a9a-9680-f36d1f087866,松风水月,rsp status_code:200,/upload/2720979a1-503f-4a9a-9680-f36d1f0878662590179852.png,5,14/9/2025 10:05:33.905088
1,f2e2dda4-488c-485a-a746-6a2b2ca5f8e2,松柏常青,rsp status_code:200,/upload/282b7879c-c357-4682-965a-c71892b86caa1605448597.png,5,14/9/2025 14:00:00.380642
2,720979a1-503f-4a9a-9680-f36d1f087866,红妆素裹,rsp status_code:200,/upload/3f2e2dda4-488c-485a-a746-6a2b2ca5f8e21365566114.png,5,14/9/2025 14:00:00.380642
6,720979a1-503f-4a9a-9680-f36d1f087866,林深闻鹿,rsp status_code:200,/upload/282b7879c-c357-4682-965a-c71892b86caa1605448598.png,5,14/9/2025 11:08:26.097411
12,0fc6ae7a-a896-4f22-8b96-e7de530b2cd7,细雨如丝,rsp status_code:200,/upload/40fc6ae7a-a896-4f22-8b96-e7de530b2cd71948164794.png,5,14/9/2025 13:59:59.762625
6,f2e2dda4-488c-485a-a746-6a2b2ca5f8e2,青山绿水,rsp status_code:200,/upload/40fc6ae7a-a896-4f22-8b96-e7de530b2cd71948164794.png,5,14/9/2025 10:05:07.368749
3,720979a1-503f-4a9a-9680-f36d1f087866,星河璀璨,rsp status_code:200,/upload/40fc6ae7a-a896-4f22-8b96-e7de530b2cd71948164796.png,6,14/9/2025 11:08:26.097411
9,f2e2dda4-488c-485a-a746-6a2b2ca5f8e2,夏木成荫,rsp status_code:200,/upload/40fc6ae7a-a896-4f22-8b96-e7de530b2cd71948164794.png,6,14/9/2025 13:59:59.189437
