user_id,painting_id,attitude
1,16,like
1,21,like
1,24,like
1,26,like
1,30,like
1,48,like
1,49,like
1,55,like
1,74,like
1,85,like
1,87,like
1,102,like
1,110,like
1,111,like
1,121,like
1,123,like
1,135,like
1,138,like
1,151,like
2,1,like
2,16,like
2,24,like
2,25,like
2,26,like
2,32,like
2,48,like
2,49,like
2,53,like
2,55,like
2,58,like
2,59,like
2,68,like
2,74,like
2,85,like
2,86,like
2,87,like
2,90,hate
2,100,like
2,102,like
2,110,like
2,114,like
2,115,like
2,117,like
2,118,hate
2,121,like
2,123,like
2,129,like
2,131,like
2,134,hate
2,138,like
2,148,like
2,159,like
2,163,like
3,3,like
3,11,like
3,16,like
3,21,like
3,24,like
3,25,like
3,26,like
3,31,like
3,39,like
3,48,like
3,49,like
3,57,like
3,74,like
3,81,like
3,85,like
3,86,like
3,91,like
3,92,like
3,102,like
3,110,like
3,111,like
3,115,like
3,121,like
3,123,like
3,135,like
3,138,like
3,149,like
3,151,like
3,159,like
3,163,like
4,16,like
4,18,like
4,27,like
4,42,like
4,48,like
4,49,like
4,51,like
4,74,like
4,85,like
4,86,like
4,87,like
4,93,like
4,100,like
4,102,like
4,110,like
4,115,like
4,116,like
4,121,like
4,123,like
4,128,hate
4,133,hate
4,135,like
4,148,like
4,150,like
4,152,like
4,161,like
5,15,like
5,16,like
5,27,like
5,32,like
5,48,like
5,49,like
5,70,hate
5,74,like
5,77,like
5,85,like
5,88,like
5,96,like
5,99,like
5,110,like
5,117,like
6,35,hate
6,52,like
6,76,hate
6,84,hate
6,98,hate
6,130,hate
6,155,like
7,1,like
7,2,like
7,3,like
7,7,like
7,18,hate
7,19,like
7,21,hate
7,24,like
7,26,like
7,39,like
7,48,like
7,49,like
7,57,hate
7,60,hate
7,61,like
7,74,like
7,77,like
7,83,like
7,85,like
7,110,like
7,120,like
7,138,like
7,145,like
7,150,like
7,163,like
7,164,like
8,3,like
8,10,like
8,14,like
8,16,like
8,18,like
8,19,like
8,26,like
8,41,like
8,47,hate
8,48,like
8,49,like
8,63,like
8,67,like
8,71,like
8,74,like
8,80,like
8,83,like
8,85,like
8,92,hate
8,109,hate
8,110,like
8,118,like
8,121,like
8,134,like
8,135,like
8,148,like
8,151,like
8,160,hate
8,163,like
8,164,like
9,2,like
9,3,like
9,14,like
9,16,like
9,23,hate
9,26,like
9,29,hate
9,59,like
9,63,like
9,74,like
9,85,like
9,88,like
9,101,like
9,102,like
9,117,like
9,121,like
9,123,like
9,125,like
9,130,like
9,131,like
9,150,like
9,159,like
10,1,like
10,3,like
10,4,hate
10,18,like
10,21,like
10,23,like
10,24,like
10,30,like
10,35,hate
10,39,like
10,43,like
10,45,like
10,47,like
10,49,like
10,66,like
10,74,like
10,76,like
10,85,like
10,87,like
10,90,like
10,109,like
10,115,like
10,117,like
10,121,like
10,123,like
10,130,like
10,137,like
10,142,hate
10,146,like
10,159,like
10,162,hate
11,1,like
11,3,like
11,9,hate
11,15,like
11,26,like
11,27,like
11,35,hate
11,42,hate
11,44,like
11,48,like
11,53,like
11,62,like
11,63,like
11,74,like
11,85,like
11,88,like
11,92,like
11,105,like
11,110,like
11,111,like
11,115,like
11,121,like
11,123,like
11,135,like
11,139,like
11,145,like
11,147,like
11,150,like
11,151,like
11,158,like
11,163,like
12,1,like
12,11,like
12,14,like
12,17,like
12,18,like
12,24,like
12,26,like
12,31,like
12,39,like
12,41,like
12,42,like
12,46,like
12,49,like
12,51,like
12,63,like
12,65,like
12,66,like
12,67,like
12,74,like
12,77,like
12,79,hate
12,83,like
12,85,like
12,87,like
12,88,like
12,90,like
12,95,like
12,96,like
12,102,like
12,110,like
12,115,like
12,120,like
12,121,like
12,123,like
12,127,like
12,128,like
12,130,like
12,131,like
12,135,like
12,136,like
12,137,like
12,138,like
12,141,like
12,142,like
12,145,like
12,150,like
12,159,like
12,164,like
13,3,like
13,14,like
13,16,like
13,18,like
13,26,like
13,37,like
