id,painting_id,user_id,create_time
1,55,1,2025/9/14 9:26
2,32,2,2025/9/14 9:32
3,55,2,2025/9/14 9:32
4,58,2,2025/9/14 9:32
5,114,2,2025/9/14 9:32
6,148,2,2025/9/14 9:32
7,163,2,2025/9/14 9:32
8,11,3,2025/9/14 9:40
9,31,3,2025/9/14 9:40
10,39,3,2025/9/14 9:40
11,57,3,2025/9/14 9:40
12,74,3,2025/9/14 9:40
13,81,3,2025/9/14 9:40
14,92,3,2025/9/14 9:40
15,149,3,2025/9/14 9:40
16,18,4,2025/9/14 9:49
17,27,4,2025/9/14 9:49
18,51,4,2025/9/14 9:49
19,74,4,2025/9/14 9:49
20,93,4,2025/9/14 9:49
21,102,4,2025/9/14 9:49
22,116,4,2025/9/14 9:49
23,148,4,2025/9/14 9:49
24,150,4,2025/9/14 9:49
25,152,4,2025/9/14 9:49
26,27,5,2025/9/14 9:55
27,32,5,2025/9/14 9:55
28,85,5,2025/9/14 9:55
29,96,5,2025/9/14 9:55
30,99,5,2025/9/14 9:55
31,52,6,2025/9/14 10:15
32,155,6,2025/9/14 10:15
33,52,6,2025/9/14 10:15
34,155,6,2025/9/14 10:15
35,52,6,2025/9/14 10:15
36,7,7,2025/9/14 10:34
37,19,7,2025/9/14 10:34
38,164,7,2025/9/14 10:34
39,7,7,2025/9/14 10:34
40,19,7,2025/9/14 10:34
41,135,8,2025/9/14 10:48
42,148,8,2025/9/14 10:48
43,135,8,2025/9/14 10:48
44,148,8,2025/9/14 10:48
45,135,8,2025/9/14 10:48
46,125,9,2025/9/14 10:50
47,125,9,2025/9/14 10:50
48,125,9,2025/9/14 10:50
49,125,9,2025/9/14 10:50
50,125,9,2025/9/14 10:50
51,39,10,2025/9/14 10:53
52,43,10,2025/9/14 10:53
53,90,10,2025/9/14 10:53
54,117,10,2025/9/14 10:53
55,39,10,2025/9/14 10:53
56,92,11,2025/9/14 10:56
57,51,12,2025/9/14 11:05
58,65,12,2025/9/14 11:05
59,131,12,2025/9/14 11:05
60,138,12,2025/9/14 11:05
61,150,12,2025/9/14 11:05
62,159,12,2025/9/14 11:05
63,108,13,2025/9/14 11:28
64,123,13,2025/9/14 11:28
65,144,13,2025/9/14 11:28
66,108,13,2025/9/14 11:28
67,123,13,2025/9/14 11:28
68,68,14,2025/9/14 11:33
69,106,14,2025/9/14 11:33
70,108,14,2025/9/14 11:33
71,131,14,2025/9/14 11:33
72,68,14,2025/9/14 11:33
73,51,15,2025/9/14 11:33
74,64,15,2025/9/14 11:33
75,66,15,2025/9/14 11:33
76,77,15,2025/9/14 11:33
77,81,15,2025/9/14 11:33
78,94,15,2025/9/14 11:33
79,123,15,2025/9/14 11:33
80,75,16,2025/9/14 12:58
81,109,16,2025/9/14 12:58
82,143,16,2025/9/14 12:58
83,146,16,2025/9/14 12:58
84,149,16,2025/9/14 12:58
85,10,17,2025/9/14 13:03
86,21,17,2025/9/14 13:03
87,75,17,2025/9/14 13:03
88,150,17,2025/9/14 13:03
89,10,17,2025/9/14 13:03
90,67,18,2025/9/14 13:07
91,69,18,2025/9/14 13:07
92,83,18,2025/9/14 13:07
93,67,18,2025/9/14 13:07
94,69,18,2025/9/14 13:07
95,42,19,2025/9/14 13:24
96,68,19,2025/9/14 13:24
97,94,19,2025/9/14 13:24
98,147,19,2025/9/14 13:24
99,161,19,2025/9/14 13:24
100,134,20,2025/9/14 13:37
101,134,20,2025/9/14 13:37
102,134,20,2025/9/14 13:37
103,134,20,2025/9/14 13:37
104,134,20,2025/9/14 13:37
